"GROUP_ID","NAME","PATH"
6,"Продукты питания","Прод->Продукты питания"
7,"Табачные изделия","Непрод->Табачные изделия"
9,"н/д","н/д->н/д"
12,"Бытовая техника, оборудование и электроника","Непрод->Бытовая техника, оборудование и электроника"
14,"Косметика, гигиена и парфюмерия","Непрод->Косметика, гигиена и парфюмерия"
15,"Муз.инструменты","Непрод->Муз.инструменты"
16,"Канцтовары","Непрод->Канцтовары"
17,"Текстильные товары","Непрод->Текстильные товары"
18,"Спорттовары","Непрод->Спорттовары"
19,"Упаковка","Непрод->Упаковка"
20,"Бытовые услуги","Непрод->Бытовые услуги"
21,"Одежда и галантерея","Непрод->Одежда и галантерея"
22,"Автомобили и мотоциклы","Непрод->Автомобили и мотоциклы"
24,"Хозтовары","Непрод->Хозтовары"
25,"Обувь","Непрод->Обувь"
26,"Детские товары, игрушки","Непрод->Детские товары, игрушки"
27,"Мед.товары","Непрод->Мед.товары"
28,"Стройматериалы","Непрод->Стройматериалы"
29,"Сувениры","Непрод->Сувениры"
30,"Цветы","Непрод->Цветы"
32,"Позиция по свободной цене","Позиция по свободной цене->Позиция по свободной цене"
34,"Алкоголь","Алкоголь->Алкоголь"
35,"Пиво, слабоалкогольные напитки","Алкоголь->Пиво, слабоалкогольные напитки"
36,"Компьютерная техника и ПО","Непрод->Компьютерная техника и ПО"
37,"Зоотовары","Непрод->Зоотовары"
38,"Мебель","Непрод->Мебель"
52,"Книги","Непрод->Книги"
59,"Игрушки для взрослых","Непрод->Игрушки для взрослых"
60,"Ювелирные изделия","Непрод->Ювелирные изделия"
