id,GROUP_ID
0,35
1,6
2,9
3,26
4,24
5,14
6,60
7,14
8,6
9,38
10,26
11,35
12,25
13,7
14,35
15,35
16,6
17,24
18,34
19,25
20,7
21,35
22,6
23,35
24,24
25,7
26,34
27,19
28,24
29,6
30,7
31,35
32,6
33,28
34,19
35,35
36,7
37,7
38,34
39,7
40,29
41,34
42,25
43,26
44,6
45,6
46,29
47,26
48,30
49,6
50,34
51,6
52,25
53,36
54,34
55,14
56,34
57,7
58,7
59,30
60,7
61,16
62,24
63,34
64,15
65,25
66,30
67,34
68,7
69,52
70,26
71,14
72,6
73,17
74,35
75,14
76,34
77,24
78,7
79,24
80,34
81,24
82,30
83,30
84,14
85,25
86,25
87,27
88,21
89,25
90,7
91,35
92,60
93,7
94,35
95,25
96,20
97,35
98,35
99,34
100,35
101,6
102,7
103,6
104,14
105,35
106,7
107,7
108,26
109,14
110,22
111,7
112,9
113,14
114,34
115,34
116,14
117,6
118,19
119,26
120,25
121,24
122,7
123,24
124,27
125,12
126,24
127,36
128,14
129,25
130,34
131,6
132,24
133,52
134,12
135,6
136,7
137,25
138,35
139,27
140,26
141,14
142,25
143,34
144,26
145,7
146,14
147,7
148,34
149,30
150,6
151,36
152,37
153,35
154,26
155,26
156,6
157,6
158,52
159,7
160,24
161,35
162,7
163,26
164,7
165,30
166,35
167,6
168,12
169,34
170,26
171,6
172,6
173,24
174,6
175,34
176,60
177,26
178,59
179,30
180,30
181,7
182,34
183,37
184,34
185,30
186,24
187,30
188,25
189,7
190,26
191,7
192,21
193,14
194,7
195,14
196,24
197,18
198,25
199,24
200,34
201,34
202,30
203,7
204,37
205,26
206,25
207,30
208,34
209,14
210,30
211,24
212,34
213,14
214,6
215,25
216,24
217,7
218,14
219,25
220,35
221,30
222,35
223,26
224,26
225,34
226,22
227,35
228,9
229,6
230,7
231,22
232,35
233,35
234,6
235,34
236,6
237,25
238,6
239,24
240,6
241,24
242,20
243,14
244,25
245,6
246,6
247,19
248,25
249,20
250,14
251,7
252,22
253,7
254,25
255,6
256,34
257,6
258,16
259,7
260,30
261,12
262,14
263,24
264,20
265,7
266,20
267,34
268,14
269,34
270,24
271,24
272,24
273,6
274,34
275,25
276,22
277,26
278,37
279,35
280,30
281,35
282,6
283,14
284,25
285,6
286,26
287,18
288,6
289,7
290,7
291,14
292,6
293,26
294,24
295,34
296,14
297,6
298,30
299,34
300,26
301,29
302,24
303,14
304,34
305,26
306,25
307,14
308,6
309,14
310,35
311,6
312,35
313,12
314,29
315,24
316,35
317,6
318,35
319,30
320,34
321,7
322,25
323,22
324,26
325,6
326,6
327,34
328,14
329,34
330,35
331,24
332,14
333,18
334,24
335,35
336,14
337,12
338,24
339,6
340,14
341,14
342,6
343,26
344,24
345,36
346,27
347,25
348,26
349,6
350,14
351,14
352,25
353,6
354,26
355,34
356,34
357,6
358,6
359,38
360,34
361,21
362,6
363,19
364,27
365,25
366,28
367,29
368,35
369,24
370,14
371,34
372,14
373,24
374,36
375,14
376,14
377,21
378,14
379,14
380,18
381,35
382,28
383,60
384,30
385,34
386,7
387,35
388,30
389,34
390,25
391,34
392,30
393,6
394,34
395,14
396,35
397,7
398,25
399,34
400,16
401,30
402,14
403,7
404,35
405,7
406,25
407,6
408,25
409,35
410,6
411,19
412,14
413,35
414,35
415,7
416,30
417,25
418,16
419,14
420,14
421,17
422,14
423,35
424,29
425,14
426,26
427,6
428,6
429,24
430,24
431,30
432,14
433,14
434,7
435,35
436,35
437,14
438,7
439,17
440,7
441,35
442,26
443,35
444,29
445,7
446,14
447,14
448,35
449,7
450,30
451,24
452,7
453,7
454,7
455,17
456,25
457,26
458,24
459,6
460,21
461,14
462,24
463,6
464,34
465,14
466,35
467,24
468,24
469,34
470,6
471,35
472,25
473,6
474,14
475,7
476,26
477,6
478,35
479,6
480,7
481,26
482,26
483,14
484,30
485,6
486,34
487,6
488,30
489,14
490,22
491,7
492,34
493,6
494,34
495,35
496,36
497,14
498,14
499,52
500,14
501,6
502,6
503,17
504,28
505,26
506,6
507,7
508,30
509,7
510,35
511,26
512,14
513,7
514,52
515,14
516,35
517,35
518,6
519,7
520,14
521,20
522,7
523,34
524,30
525,52
526,24
527,6
528,24
529,14
530,25
531,34
532,14
533,30
534,6
535,35
536,25
537,6
538,14
539,6
540,24
541,34
542,27
543,35
544,9
545,37
546,38
547,7
548,6
549,34
550,7
551,35
552,60
553,24
554,26
555,24
556,14
557,26
558,14
559,24
560,6
561,14
562,21
563,25
564,6
565,12
566,34
567,37
568,7
569,35
570,34
571,6
572,30
573,26
574,7
575,60
576,16
577,35
578,7
579,35
580,6
581,34
582,30
583,25
584,35
585,34
586,26
587,14
588,60
589,34
590,35
591,24
592,14
593,7
594,18
595,34
596,27
597,14
598,7
599,14
600,7
601,6
602,17
603,34
604,6
605,7
606,6
607,24
608,24
609,7
610,34
611,17
612,19
613,30
614,30
615,6
616,34
617,25
618,26
619,7
620,6
621,6
622,7
623,35
624,24
625,35
626,19
627,14
628,6
629,14
630,37
631,38
632,14
633,19
634,26
635,24
636,35
637,34
638,7
639,7
640,7
641,59
642,16
643,14
644,14
645,35
646,30
647,34
648,35
649,35
650,19
651,38
652,7
653,35
654,25
655,14
656,26
657,6
658,14
659,34
660,14
661,14
662,6
663,7
664,35
665,6
666,37
667,35
668,30
669,25
670,24
671,12
672,24
673,14
674,14
675,7
676,34
677,24
678,35
679,24
680,35
681,19
682,14
683,14
684,25
685,6
686,6
687,7
688,34
689,14
690,26
691,35
692,18
693,26
694,26
695,35
696,24
697,14
698,6
699,34
700,35
701,14
702,14
703,30
704,38
705,38
706,14
707,24
708,6
709,26
710,35
711,30
712,34
713,17
714,24
715,60
716,14
717,12
718,7
719,6
720,35
721,34
722,34
723,6
724,59
725,52
726,6
727,14
728,14
729,14
730,22
731,35
732,6
733,37
734,25
735,25
736,7
737,7
738,34
739,34
740,20
741,34
742,26
743,35
744,35
745,25
746,24
747,14
748,34
749,35
750,34
751,24
752,34
753,26
754,14
755,6
756,24
757,34
758,6
759,34
760,12
761,37
762,6
763,27
764,29
765,24
766,35
767,7
768,6
769,25
770,6
771,12
772,60
773,6
774,7
775,34
776,30
777,7
778,26
779,35
780,14
781,34
782,6
783,30
784,6
785,30
786,30
787,18
788,6
789,26
790,6
791,6
792,34
793,25
794,24
795,6
796,6
797,24
798,14
799,7
800,25
801,14
802,19
803,25
804,35
805,25
806,6
807,14
808,14
809,26
810,7
811,34
812,35
813,30
814,35
815,24
816,52
817,14
818,38
819,6
820,26
821,26
822,7
823,20
824,34
825,6
826,35
827,36
828,14
829,12
830,21
831,7
832,14
833,6
834,7
835,35
836,7
837,26
838,19
839,6
840,26
841,37
842,52
843,30
844,6
845,34
846,21
847,21
848,24
849,7
850,30
851,35
852,60
853,35
854,6
855,34
856,26
857,30
858,21
859,30
860,24
861,24
862,7
863,7
864,14
865,26
866,14
867,30
868,59
869,60
870,24
871,30
872,24
873,6
874,24
875,38
876,38
877,25
878,52
879,30
880,6
881,14
882,19
883,14
884,29
885,14
886,24
887,7
888,35
889,24
890,25
891,6
892,26
893,30
894,28
895,24
896,21
897,35
898,25
899,35
900,7
901,26
902,6
903,37
904,6
905,26
906,35
907,34
908,21
909,34
910,24
911,24
912,26
913,30
914,7
915,14
916,60
917,38
918,7
919,14
920,36
921,25
922,14
923,30
924,35
925,14
926,25
927,30
928,35
929,25
930,17
931,6
932,15
933,37
934,34
935,6
936,16
937,34
938,24
939,6
940,52
941,17
942,14
943,6
944,24
945,30
946,6
947,7
948,14
949,17
950,26
951,35
952,14
953,14
954,25
955,14
956,35
957,7
958,14
959,29
960,34
961,35
962,25
963,7
964,14
965,24
966,35
967,12
968,34
969,6
970,14
971,35
972,27
973,34
974,18
975,6
976,26
977,6
978,26
979,15
980,26
981,14
982,35
983,6
984,26
985,36
986,34
987,26
988,35
989,14
990,18
991,24
992,14
993,24
994,6
995,34
996,34
997,21
998,34
999,6
1000,6
1001,21
1002,24
1003,24
1004,21
1005,35
1006,35
1007,59
1008,35
1009,7
1010,6
1011,14
1012,34
1013,28
1014,27
1015,30
1016,19
1017,30
1018,26
1019,9
1020,36
1021,35
1022,34
1023,6
1024,14
1025,14
1026,35
1027,34
1028,34
1029,35
1030,35
1031,26
1032,9
1033,36
1034,6
1035,16
1036,6
1037,24
1038,7
1039,25
1040,9
1041,30
1042,14
1043,26
1044,7
1045,24
1046,38
1047,59
1048,30
1049,6
1050,24
1051,24
1052,24
1053,6
1054,52
1055,30
1056,60
1057,34
1058,36
1059,34
1060,34
1061,24
1062,7
1063,14
1064,34
1065,14
1066,7
1067,59
1068,24
1069,14
1070,6
1071,6
1072,25
1073,14
1074,30
1075,37
1076,30
1077,34
1078,7
1079,7
1080,34
1081,25
1082,34
1083,24
1084,24
1085,26
1086,7
1087,21
1088,25
1089,24
1090,52
1091,34
1092,14
1093,14
1094,24
1095,29
1096,25
1097,6
1098,35
1099,34
1100,52
1101,7
1102,24
1103,6
1104,6
1105,14
1106,6
1107,30
1108,25
1109,38
1110,6
1111,24
1112,7
1113,35
1114,14
1115,35
1116,34
1117,7
1118,30
1119,24
1120,35
1121,25
1122,7
1123,34
1124,26
1125,24
1126,35
1127,34
1128,34
1129,35
1130,7
1131,26
1132,6
1133,6
1134,22
1135,35
1136,20
1137,15
1138,14
1139,24
1140,6
1141,6
1142,6
1143,35
1144,6
1145,30
1146,52
1147,29
1148,34
1149,35
1150,34
1151,14
1152,7
1153,21
1154,30
1155,24
1156,26
1157,24
1158,22
1159,24
1160,34
1161,52
1162,60
1163,28
1164,34
1165,35
1166,30
1167,6
1168,30
1169,26
1170,35
1171,7
1172,7
1173,25
1174,6
1175,7
1176,6
1177,26
1178,30
1179,34
1180,26
1181,6
1182,7
1183,25
1184,17
1185,14
1186,24
1187,6
1188,6
1189,14
1190,22
1191,28
1192,30
1193,24
1194,14
1195,20
1196,34
1197,30
1198,25
1199,35
1200,34
1201,7
1202,16
1203,7
1204,14
1205,6
1206,6
1207,14
1208,34
1209,26
1210,30
1211,6
1212,6
1213,20
1214,7
1215,30
1216,14
1217,24
1218,24
1219,25
1220,35
1221,24
1222,35
1223,14
1224,26
1225,7
1226,26
1227,36
1228,19
1229,6
1230,26
1231,7
1232,24
1233,14
1234,35
1235,24
1236,20
1237,22
1238,14
1239,35
1240,6
1241,14
1242,26
1243,27
1244,25
1245,30
1246,14
1247,6
1248,34
1249,26
1250,35
1251,14
1252,17
1253,24
1254,7
1255,25
1256,24
1257,14
1258,17
1259,14
1260,26
1261,25
1262,30
1263,34
1264,14
1265,34
1266,6
1267,6
1268,14
1269,35
1270,24
1271,14
1272,7
1273,35
1274,21
1275,26
1276,38
1277,6
1278,35
1279,6
1280,35
1281,6
1282,38
1283,25
1284,34
1285,7
1286,6
1287,27
1288,6
1289,34
1290,25
1291,25
1292,6
1293,30
1294,26
1295,7
1296,14
1297,6
1298,34
1299,7
1300,6
1301,35
1302,7
1303,26
1304,35
1305,34
1306,26
1307,34
1308,35
1309,30
1310,6
1311,19
1312,14
1313,35
1314,14
1315,7
1316,9
1317,14
1318,6
1319,30
1320,7
1321,14
1322,38
1323,25
1324,6
1325,59
1326,35
1327,6
1328,14
1329,24
1330,14
1331,7
1332,6
1333,34
1334,24
1335,30
1336,35
1337,34
1338,7
1339,35
1340,34
1341,6
1342,30
1343,7
1344,26
1345,30
1346,26
1347,16
1348,34
1349,7
1350,24
1351,7
1352,9
1353,12
1354,24
1355,24
1356,35
1357,52
1358,24
1359,7
1360,24
1361,6
1362,25
1363,24
1364,7
1365,14
1366,14
1367,30
1368,6
1369,30
1370,20
1371,6
1372,6
1373,34
1374,34
1375,34
1376,34
1377,7
1378,25
1379,7
1380,52
1381,12
1382,14
1383,6
1384,14
1385,34
1386,24
1387,14
1388,7
1389,34
1390,27
1391,34
1392,6
1393,14
1394,17
1395,34
1396,34
1397,14
1398,24
1399,6
1400,35
1401,6
1402,26
1403,14
1404,7
1405,30
1406,24
1407,30
1408,22
1409,24
1410,35
1411,25
1412,14
1413,35
1414,7
1415,6
1416,9
1417,25
1418,30
1419,25
1420,18
1421,35
1422,26
1423,14
1424,14
1425,35
1426,7
1427,35
1428,7
1429,35
1430,6
1431,30
1432,14
1433,22
1434,24
1435,34
1436,30
1437,7
1438,35
1439,7
1440,35
1441,34
1442,30
1443,35
1444,26
1445,24
1446,7
1447,26
1448,6
1449,25
1450,25
1451,37
1452,19
1453,7
1454,37
1455,37
1456,35
1457,6
1458,35
1459,25
1460,6
1461,26
1462,35
1463,34
1464,6
1465,25
1466,24
1467,24
1468,30
1469,17
1470,26
1471,14
1472,38
1473,14
1474,25
1475,35
1476,25
1477,7
1478,14
1479,18
1480,7
1481,24
1482,6
1483,25
1484,7
1485,34
1486,30
1487,35
1488,6
1489,29
1490,21
1491,34
1492,26
1493,6
1494,35
1495,6
1496,7
1497,25
1498,34
1499,14
1500,25
1501,34
1502,6
1503,6
1504,24
1505,30
1506,24
1507,25
1508,26
1509,6
1510,24
1511,34
1512,35
1513,34
1514,24
1515,7
1516,14
1517,6
1518,26
1519,35
1520,24
1521,6
1522,34
1523,24
1524,35
1525,30
1526,34
1527,7
1528,35
1529,25
1530,34
1531,7
1532,7
1533,24
1534,34
1535,26
1536,34
1537,30
1538,35
1539,7
1540,19
1541,6
1542,34
1543,35
1544,9
1545,17
1546,24
1547,24
1548,6
1549,26
1550,18
1551,14
1552,24
1553,7
1554,25
1555,14
1556,35
1557,6
1558,34
1559,26
1560,7
1561,34
1562,30
1563,27
1564,24
1565,6
1566,6
1567,30
1568,7
1569,30
1570,6
1571,34
1572,25
1573,29
1574,34
1575,6
1576,35
1577,7
1578,24
1579,6
1580,26
1581,14
1582,6
1583,30
1584,25
