id,GROUP_ID,PREDICT_GROUP_ID
0,35,35
1,6,6
2,7,7
3,6,30
4,35,35
5,6,6
6,20,20
7,14,14
8,24,24
9,19,19
10,34,34
11,35,35
12,34,6
13,30,30
14,7,7
15,24,24
16,24,24
17,29,29
18,7,7
19,26,26
20,35,35
21,9,9
22,35,35
23,14,14
24,25,25
25,24,24
26,35,35
27,7,7
28,7,7
29,14,14
30,27,27
31,16,16
32,30,30
33,6,6
34,6,6
35,24,24
36,6,6
37,6,6
38,35,35
39,6,6
40,7,7
41,34,34
42,25,25
43,25,25
44,7,7
45,26,26
46,30,30
47,18,18
48,14,14
49,52,52
50,16,16
51,26,26
52,7,7
53,35,35
54,26,26
55,35,35
56,52,52
57,37,37
58,24,24
59,22,26
60,14,14
61,6,6
62,29,29
63,34,34
64,34,34
65,26,26
66,6,6
67,36,36
68,26,26
69,35,35
70,24,24
71,22,22
72,24,24
73,7,7
74,12,12
75,6,6
76,35,35
77,25,25
78,14,14
79,7,7
80,24,24
81,59,59
82,59,59
83,14,14
84,29,29
85,7,7
86,12,12
87,6,6
88,34,34
89,6,6
90,59,59
91,52,52
92,6,6
93,20,20
94,6,6
95,34,34
96,19,19
97,34,34
98,7,7
99,7,7
100,14,14
101,19,19
102,30,30
103,6,6
104,6,6
105,26,26
106,6,6
107,7,7
108,29,26
109,24,24
110,6,6
111,7,7
112,14,14
113,7,7
114,6,6
115,6,6
116,30,30
117,35,35
118,20,20
119,6,6
120,6,6
121,25,25
122,24,24
123,14,14
124,35,35
125,35,34
126,6,6
127,35,35
128,7,7
129,26,26
130,14,14
131,59,59
132,36,36
133,30,30
134,7,7
135,7,7
136,14,14
137,6,6
138,26,26
139,24,24
140,6,6
141,26,52
142,24,24
143,6,6
144,16,16
145,12,12
146,14,14
147,17,17
148,14,14
149,35,35
150,37,37
151,34,34
152,26,26
153,7,7
154,30,30
155,34,34
156,14,14
157,24,24
158,30,30
159,6,6
160,30,30
161,14,14
162,30,30
163,35,35
164,26,26
165,14,14
166,30,30
167,14,14
168,6,6
169,35,35
170,25,25
171,26,26
172,21,21
173,7,7
174,6,37
175,24,24
176,12,12
177,29,29
178,16,16
179,6,6
180,24,24
181,6,6
182,7,7
183,7,7
184,38,38
185,24,24
186,7,7
187,14,14
188,6,6
189,15,15
190,25,25
191,52,52
192,7,7
193,24,24
194,24,24
195,34,34
196,34,24
197,59,59
198,7,7
199,14,14
200,7,7
201,26,26
202,26,26
203,14,14
204,24,24
205,6,6
206,34,34
207,7,7
208,14,14
209,35,35
210,6,6
211,14,14
212,27,27
213,35,35
214,18,18
215,35,35
216,26,26
217,14,14
218,14,14
219,7,7
220,6,6
221,12,12
222,14,14
223,6,6
224,36,36
225,7,7
226,30,30
227,6,14
228,14,14
229,35,35
230,14,14
231,35,35
232,34,34
233,14,14
234,35,35
235,25,25
236,30,30
237,35,35
238,26,26
239,7,7
240,7,7
241,25,25
242,30,30
243,26,26
244,35,35
245,20,20
246,17,17
247,14,14
248,35,35
249,14,14
250,6,6
251,26,26
252,34,34
253,35,35
254,24,24
255,6,6
256,35,35
257,24,24
258,34,34
259,14,14
260,26,26
261,35,35
262,14,14
263,34,28
264,9,9
265,30,30
266,34,34
267,35,35
268,36,36
269,28,28
270,6,6
271,35,35
272,21,21
273,12,12
274,34,34
275,6,6
276,14,14
277,26,26
278,30,30
279,7,7
280,14,14
281,29,7
282,24,24
283,6,6
284,24,34
285,24,24
286,7,7
287,25,25
288,7,7
289,25,25
290,6,6
291,6,6
292,14,14
293,34,34
